Date,Price
2021-03-26,1743.2
2021-03-27,1736.566667
2021-03-28,1729.933333
2021-03-29,1723.3
2021-03-30,1694.3
2021-03-31,1723.9
2021-04-01,1736.8
2021-04-02,1737.025
2021-04-03,1737.25
2021-04-04,1737.475
2021-04-05,1737.7
2021-04-06,1751.8
2021-04-07,1750.3
2021-04-08,1767.3
2021-04-09,1754.0
2021-04-10,1750.0
2021-04-11,1746.0
2021-04-12,1742.0
2021-04-13,1756.9
2021-04-14,1745.8
2021-04-15,1776.4
2021-04-16,1789.7
2021-04-17,1786.566667
2021-04-18,1783.433333
2021-04-19,1780.3
2021-04-20,1788.1
2021-04-21,1802.9
2021-04-22,1791.7
2021-04-23,1787.2
2021-04-24,1788.0
2021-04-25,1788.8
2021-04-26,1789.6
2021-04-27,1788.4
2021-04-28,1783.5
2021-04-29,1777.6
2021-04-30,1777.1
2021-05-01,1785.133333
2021-05-02,1793.166667
2021-05-03,1801.2
2021-05-04,1786.4
2021-05-05,1794.5
2021-05-06,1825.5
2021-05-07,1841.2
2021-05-08,1843.266667
2021-05-09,1845.333333
2021-05-10,1847.4
2021-05-11,1845.7
2021-05-12,1832.4
2021-05-13,1833.9
2021-05-14,1848.1
2021-05-15,1857.633333
2021-05-16,1867.166667
2021-05-17,1876.7
2021-05-18,1877.3
2021-05-19,1890.7
2021-05-20,1891.0
2021-05-21,1886.0
2021-05-22,1888.666667
2021-05-23,1891.333333
2021-05-24,1894.0
2021-05-25,1907.7
2021-05-26,1911.1
2021-05-27,1906.7
2021-05-28,1913.1
2021-05-29,1909.925
2021-05-30,1906.75
2021-05-31,1911.15
2021-06-01,1912.5
2021-06-02,1917.2
2021-06-03,1880.5
2021-06-04,1899.2
2021-06-05,1901.5
2021-06-06,1903.8
2021-06-07,1906.1
2021-06-08,1901.8
2021-06-09,1902.9
2021-06-10,1903.8
2021-06-11,1886.9
2021-06-12,1882.333333
2021-06-13,1877.766667
2021-06-14,1873.2
2021-06-15,1863.7
2021-06-16,1868.7
2021-06-17,1782.0
2021-06-18,1776.5
2021-06-19,1781.166667
2021-06-20,1785.833333
2021-06-21,1790.5
2021-06-22,1785.0
2021-06-23,1791.1
2021-06-24,1784.4
2021-06-25,1785.5
2021-06-26,1786.433333
2021-06-27,1787.366667
2021-06-28,1788.3
2021-06-29,1771.0
2021-06-30,1779.3
2021-07-01,1784.3
2021-07-02,1791.0
2021-07-03,1788.7
2021-07-04,1786.4
2021-07-05,1791.3
2021-07-06,1801.8
2021-07-07,1809.6
2021-07-08,1807.9
2021-07-09,1818.6
2021-07-10,1817.0
2021-07-11,1815.4
2021-07-12,1813.8
2021-07-13,1817.9
2021-07-14,1833.0
2021-07-15,1836.9
2021-07-16,1823.0
2021-07-17,1820.966667
2021-07-18,1818.933333
2021-07-19,1816.9
2021-07-20,1818.9
2021-07-21,1811.0
2021-07-22,1812.9
2021-07-23,1809.3
2021-07-24,1808.5
2021-07-25,1807.7
2021-07-26,1806.9
2021-07-27,1807.3
2021-07-28,1808.1
2021-07-29,1839.4
2021-07-30,1820.8
2021-07-31,1822.5
2021-08-01,1824.2
2021-08-02,1825.9
2021-08-03,1817.9
2021-08-04,1818.2
2021-08-05,1812.8
2021-08-06,1767.2
2021-08-07,1755.066667
2021-08-08,1742.933333
2021-08-09,1730.8
2021-08-10,1735.9
2021-08-11,1757.7
