Date,Price
2021-03-26,25.184
2021-03-27,25.133
2021-03-28,25.082
2021-03-29,24.841
2021-03-30,24.209
2021-03-31,24.609
2021-04-01,25.02
2021-04-02,25.029
2021-04-03,25.038
2021-04-04,25.047
2021-04-05,24.855
2021-04-06,25.302
2021-04-07,25.312
2021-04-08,25.653
2021-04-09,25.389
2021-04-10,25.347
2021-04-11,25.305
2021-04-12,24.931
2021-04-13,25.491
2021-04-14,25.59
2021-04-15,26.026
2021-04-16,26.169
2021-04-17,26.0785
2021-04-18,25.988
2021-04-19,25.902
2021-04-20,25.904
2021-04-21,26.632
2021-04-22,26.247
2021-04-23,26.142
2021-04-24,26.0685
2021-04-25,25.995
2021-04-26,26.276
2021-04-27,26.484
2021-04-28,26.151
2021-04-29,26.115
2021-04-30,25.9
2021-05-01,25.909
2021-05-02,25.918
2021-05-03,26.988
2021-05-04,26.583
2021-05-05,26.548
2021-05-06,27.503
2021-05-07,27.502
2021-05-08,27.6345
2021-05-09,27.767
2021-05-10,27.517
2021-05-11,27.69
2021-05-12,27.267
2021-05-13,27.083
2021-05-14,27.39
2021-05-15,27.486
2021-05-16,27.582
2021-05-17,28.298
2021-05-18,28.358
2021-05-19,28.047
2021-05-20,28.091
2021-05-21,27.51
2021-05-22,27.5835
2021-05-23,27.657
2021-05-24,27.932
2021-05-25,28.086
2021-05-26,27.907
2021-05-27,27.971
2021-05-28,28.045
2021-05-29,28.0515
2021-05-30,28.058
2021-05-31,28.192
2021-06-01,28.134
2021-06-02,28.235
2021-06-03,27.506
2021-06-04,27.926
2021-06-05,27.902
2021-06-06,27.878
2021-06-07,28.05
2021-06-08,27.762
2021-06-09,28.032
2021-06-10,28.062
2021-06-11,28.18
2021-06-12,28.0675
2021-06-13,27.955
2021-06-14,28.074
2021-06-15,27.73
2021-06-16,27.848
2021-06-17,25.892
2021-06-18,26.009
2021-06-19,25.9695
2021-06-20,25.93
2021-06-21,26.065
2021-06-22,25.898
2021-06-23,26.152
2021-06-24,26.089
2021-06-25,26.126
2021-06-26,26.159
2021-06-27,26.192
2021-06-28,26.254
2021-06-29,25.901
2021-06-30,26.194
2021-07-01,26.1
2021-07-02,26.501
2021-07-03,26.51333333
2021-07-04,26.52566667
2021-07-05,26.538
2021-07-06,26.174
2021-07-07,26.129
2021-07-08,25.987
2021-07-09,26.234
2021-07-10,26.213
2021-07-11,26.192
2021-07-12,26.239
2021-07-13,26.14
2021-07-14,26.271
2021-07-15,26.394
2021-07-16,25.795
2021-07-17,25.771
2021-07-18,25.747
2021-07-19,25.144
2021-07-20,24.995
2021-07-21,25.255
2021-07-22,25.381
2021-07-23,25.233
2021-07-24,25.2265
2021-07-25,25.22
2021-07-26,25.318
2021-07-27,24.649
2021-07-28,24.877
2021-07-29,25.782
2021-07-30,25.547
2021-07-31,25.5545
2021-08-01,25.562
2021-08-02,25.575
2021-08-03,25.582
2021-08-04,25.461
2021-08-05,25.292
2021-08-06,24.326
2021-08-07,23.9565
2021-08-08,23.587
2021-08-09,23.269
2021-08-10,23.392
2021-08-11,23.488
2021-08-12,23.116
2021-08-13,23.779
2021-08-14,23.7235
2021-08-15,23.668
2021-08-16,23.791
2021-08-17,23.659
2021-08-18,23.422
2021-08-19,23.23
2021-08-20,23.112
2021-08-21,23.03
2021-08-22,22.948
2021-08-23,23.656
2021-08-24,23.937
2021-08-25,23.822
2021-08-26,23.596
2021-08-27,24.11
2021-08-28,24.129
2021-08-29,24.148
2021-08-30,24.006
2021-08-31,24.006
2021-09-01,24.221
2021-09-02,23.918
2021-09-03,24.802
2021-09-04,24.807
2021-09-05,24.812
2021-09-06,24.742
2021-09-07,24.373
2021-09-08,24.056
2021-09-09,24.177
2021-09-10,23.9
